Year,Month,tmin_f,datetime
2012.0,12.0,67.07338324652778,2012-12-01
2013.0,1.0,65.04085286458334,2013-01-01
2013.0,2.0,65.19321831597222,2013-02-01
2013.0,3.0,64.37146538628471,2013-03-01
2013.0,4.0,66.75333930121528,2013-04-01
2013.0,5.0,68.40807562934027,2013-05-01
2013.0,6.0,69.75358072916666,2013-06-01
2013.0,7.0,70.33064507378472,2013-07-01
2013.0,8.0,70.87647569444445,2013-08-01
2013.0,9.0,71.04860568576389,2013-09-01
2013.0,10.0,69.88044976128472,2013-10-01
2013.0,11.0,68.88531901041668,2013-11-01
2013.0,12.0,67.52176378038195,2013-12-01
2014.0,1.0,65.07721896701389,2014-01-01
2014.0,2.0,67.10764702690972,2014-02-01
2014.0,3.0,65.39056803385418,2014-03-01
2014.0,4.0,67.09914008246528,2014-04-01
2014.0,5.0,68.55013563368055,2014-05-01
2014.0,6.0,69.06967502170139,2014-06-01
2014.0,7.0,71.00622016059029,2014-07-01
2014.0,8.0,71.05695800781251,2014-08-01
2014.0,9.0,71.10113118489583,2014-09-01
2014.0,10.0,71.18498806423611,2014-10-01
2014.0,11.0,68.86166178385417,2014-11-01
2014.0,12.0,64.99899088541667,2014-12-01
2015.0,1.0,62.93512912326389,2015-01-01
2015.0,2.0,65.11604275173612,2015-02-01
2015.0,3.0,63.75210774739583,2015-03-01
2015.0,4.0,68.03025173611111,2015-04-01
2015.0,5.0,67.16265733506944,2015-05-01
2015.0,6.0,69.72286241319445,2015-06-01
2015.0,7.0,72.39971245659723,2015-07-01
2015.0,8.0,73.65761990017361,2015-08-01
2015.0,9.0,73.5431396484375,2015-09-01
2015.0,10.0,70.96946072048613,2015-10-01
2015.0,11.0,71.55004611545138,2015-11-01
2015.0,12.0,68.66242133246527,2015-12-01
2016.0,1.0,64.20841471354166,2016-01-01
2016.0,2.0,64.41476236979167,2016-02-01
2016.0,3.0,64.57579210069444,2016-03-01
2016.0,4.0,67.41181640625001,2016-04-01
2016.0,5.0,67.87318793402778,2016-05-01
2016.0,6.0,69.76127115885416,2016-06-01
2016.0,7.0,71.45725911458334,2016-07-01
2016.0,8.0,72.21569010416667,2016-08-01
2016.0,9.0,71.66214463975695,2016-09-01
2016.0,10.0,70.62943793402778,2016-10-01
2016.0,11.0,68.34976671006945,2016-11-01
2016.0,12.0,66.78773871527778,2016-12-01
2017.0,1.0,63.58408203125,2017-01-01
2017.0,2.0,64.40322265625,2017-02-01
2017.0,3.0,65.82364637586807,2017-03-01
2017.0,4.0,66.73138292100694,2017-04-01
2017.0,5.0,67.83278266059028,2017-05-01
2017.0,6.0,70.71743706597222,2017-06-01
2017.0,7.0,72.22244466145833,2017-07-01
2017.0,8.0,71.45410427517362,2017-08-01
2017.0,9.0,70.71920301649305,2017-09-01
2017.0,10.0,69.77996961805556,2017-10-01
2017.0,11.0,67.09158257378472,2017-11-01
2017.0,12.0,63.74806857638889,2017-12-01
2018.0,1.0,64.32855088975694,2018-01-01
2018.0,2.0,64.66159125434028,2018-02-01
2018.0,3.0,65.00506456163194,2018-03-01
2018.0,4.0,68.00307345920139,2018-04-01
2018.0,5.0,68.25184733072916,2018-05-01
2018.0,6.0,69.350341796875,2018-06-01
2018.0,7.0,71.40652669270833,2018-07-01
2018.0,8.0,72.18315972222223,2018-08-01
2018.0,9.0,71.4491427951389,2018-09-01
2018.0,10.0,70.8252197265625,2018-10-01
2018.0,11.0,68.16006401909723,2018-11-01
