Year,Month,tmax_f,datetime
2021.0,8.0,79.31850043402778,2021-08-01
2021.0,9.0,78.88058810763889,2021-09-01
2021.0,10.0,78.01429578993056,2021-10-01
2021.0,11.0,77.70218641493057,2021-11-01
2021.0,12.0,73.86809353298611,2021-12-01
2022.0,1.0,74.85415581597223,2022-01-01
2022.0,2.0,75.38665093315973,2022-02-01
2022.0,3.0,76.49253200954861,2022-03-01
2022.0,4.0,75.66434190538195,2022-04-01
2022.0,5.0,76.97177463107639,2022-05-01
2022.0,6.0,78.092626953125,2022-06-01
2022.0,7.0,78.97491319444444,2022-07-01
2022.0,8.0,80.23306749131945,2022-08-01
2022.0,9.0,80.12239040798612,2022-09-01
2022.0,10.0,79.40180121527777,2022-10-01
2022.0,11.0,76.61493055555556,2022-11-01
2022.0,12.0,75.98770073784722,2022-12-01
2023.0,1.0,75.04565972222221,2023-01-01
2023.0,2.0,72.5603488498264,2023-02-01
2023.0,3.0,75.04879557291667,2023-03-01
2023.0,4.0,75.61859537760417,2023-04-01
2023.0,5.0,76.19166666666666,2023-05-01
2023.0,6.0,78.18660481770834,2023-06-01
2023.0,7.0,79.55912000868057,2023-07-01
2023.0,8.0,80.30959743923611,2023-08-01
2023.0,9.0,80.02783745659723,2023-09-01
2023.0,10.0,79.8853515625,2023-10-01
2023.0,11.0,77.33698459201389,2023-11-01
2023.0,12.0,74.455810546875,2023-12-01
2024.0,1.0,74.14257269965279,2024-01-01
2024.0,2.0,71.77957628038195,2024-02-01
2024.0,3.0,73.22916124131945,2024-03-01
2024.0,4.0,74.86797960069444,2024-04-01
2024.0,5.0,76.60276963975694,2024-05-01
2024.0,6.0,78.74296332465278,2024-06-01
2024.0,7.0,79.38013237847223,2024-07-01
2024.0,8.0,79.86823459201389,2024-08-01
2024.0,9.0,79.80098741319443,2024-09-01
2024.0,10.0,78.81551106770834,2024-10-01
2024.0,11.0,76.46797688802084,2024-11-01
2024.0,12.0,76.76455891927083,2024-12-01
2025.0,1.0,74.0823974609375,2025-01-01
2025.0,2.0,75.06018337673612,2025-02-01
2025.0,3.0,75.02083875868055,2025-03-01
2025.0,4.0,76.10504014756944,2025-04-01
2025.0,5.0,76.58525933159723,2025-05-01
2025.0,6.0,78.59073893229167,2025-06-01
2025.0,7.0,79.46875,2025-07-01
