,Month,MRF,Phase,Count,MeRF,MnRF,MeAnom,MnAnom,MT,MeT,MnT
35,8,4.316236486960585,SEL,8,5.786227879561777,2.0150240199772393,1.4699913926011927,-2.3012124669833454,66.83761715633648,67.37524552033074,65.12262916564941
36,8,4.316236486960585,WEL,12,4.813995786852099,2.3427428598479025,0.4977592998915146,-1.9734936271126822,66.83761715633648,66.95691869983997,65.553125
37,8,4.316236486960585,NUT,35,4.126367583988221,1.4605349443090243,-0.18986890297236414,-2.8557015426515604,66.83761715633648,67.01542889805702,65.0820140838623
38,8,4.316236486960585,WLA,15,4.217284915954109,1.462020573653574,-0.09895157100647545,-2.8542159133070104,66.83761715633648,66.6851547133288,65.33460006713867
39,8,4.316236486960585,SLA,5,2.3955649728850115,1.0182119354488344,-1.9206715140755732,-3.2980245515117503,66.83761715633648,65.44929871710467,64.64454879760743
40,9,4.614975299985391,SEL,9,6.589815001266626,1.62485468106007,1.974839701281235,-2.990120618925321,66.36553370687969,67.04805605952703,65.17029609680176
41,9,4.614975299985391,WEL,9,3.03820173675724,1.5726738276444083,-1.5767735632281505,-3.0423014723409825,66.36553370687969,66.37969099738694,65.72141315101175
42,9,4.614975299985391,NUT,37,4.702582053870287,1.4279218358317698,0.0876067538848968,-3.187053464153621,66.36553370687969,66.55603240806464,64.33383714135175
43,9,4.614975299985391,WLA,15,4.526081675932477,2.841765035794476,-0.0888936240529139,-1.7732102641909147,66.36553370687969,66.26982238474517,65.03829883247352
44,9,4.614975299985391,SLA,5,3.516847144900345,2.7705419345164866,-1.0981281550850457,-1.844433365468904,66.36553370687969,64.83987251920003,63.936177825927736
45,10,4.2700543571331995,SEL,11,4.168239708192535,2.235055307703694,-0.10181464894066483,-2.0349990494295054,65.88912234064759,66.24043268170075,63.77456893920899
46,10,4.2700543571331995,WEL,11,4.478581291313418,1.3699259720449373,0.2085269341802185,-2.900128385088262,65.88912234064759,66.10330196418718,64.0060302734375
47,10,4.2700543571331995,NUT,31,4.618872598188313,1.3291943167138287,0.3488182410551133,-2.9408600404193708,65.88912234064759,65.86053053153134,64.59759819805024
48,10,4.2700543571331995,WLA,13,4.038812688160925,0.5701734137347364,-0.23124166897227472,-3.699880943398463,65.88912234064759,66.13559464857292,64.35155854942833
49,10,4.2700543571331995,SLA,9,3.272158922277202,1.8253631291427013,-0.9978954348559976,-2.444691227990498,65.88912234064759,65.08033599216446,63.97900390625
50,11,2.7728910326019047,SEL,15,2.4616740819976086,0.3408844639935831,-0.3112169506042961,-2.4320065686083217,64.2784227043358,64.12387287186512,62.15992889404297
51,11,2.7728910326019047,WEL,12,2.1157125663256706,0.412451451218973,-0.6571784662762341,-2.3604395813829315,64.2784227043358,65.58493379966592,64.85732138827814
52,11,2.7728910326019047,NUT,23,3.2200180345592093,0.5620699229202871,0.4471270019573046,-2.2108211096816177,64.2784227043358,63.942778073804604,61.77823638916016
53,11,2.7728910326019047,WLA,15,3.0809075112730815,0.2217987390953724,0.30801647867117676,-2.5510922935065325,64.2784227043358,64.5382217000019,64.06360372299815
54,11,2.7728910326019047,SLA,10,2.5379137955312654,1.0646058630755568,-0.23497723707063933,-1.708285169526348,64.2784227043358,63.62628048538454,62.55672073364258
55,12,2.7495724863267634,SEL,14,1.65935882835474,0.2468083787152147,-1.0902136579720234,-2.5027641076115485,62.32368729510759,61.979102860490784,59.17816734313965
56,12,2.7495724863267634,WEL,12,3.134542719272804,0.5387324986495371,0.3849702329460407,-2.2108399876772262,62.32368729510759,63.381656504283015,62.37258495943725
57,12,2.7495724863267634,NUT,22,2.375644702269678,0.3559516546294445,-0.3739277840570856,-2.393620831697319,62.32368729510759,61.983433009461145,59.66148681640625
58,12,2.7495724863267634,WLA,17,3.206017449146181,0.1695287696958527,0.4564449628194174,-2.580043716630911,62.32368729510759,62.5430436804564,61.39597396850586
59,12,2.7495724863267634,SLA,10,3.8605920160849267,1.0011711270790402,1.1110195297581633,-1.7484013592477232,62.32368729510759,62.13434110949091,60.58987366538672
