Year,Month,Temp,datetime,tmean_f
2015,2.0,68.36006386379674,2015-02-01,
2015,3.0,66.7871852811491,2015-03-01,
2015,4.0,69.39497089805567,2015-04-01,
2015,5.0,69.08857856448465,2015-05-01,
2015,6.0,71.31554258206387,2015-06-01,
2015,7.0,73.8507440754851,2015-07-01,
2015,8.0,74.93207758267,2015-08-01,
2015,9.0,74.66556803044912,2015-09-01,
2015,10.0,73.51700732633327,2015-10-01,
2015,11.0,71.76596407108839,2015-11-01,
2015,12.0,69.17085176254142,2015-12-01,
2016,1.0,67.57259402485411,2016-01-01,
2016,2.0,67.32490074486614,2016-02-01,
2016,3.0,68.38840784913847,2016-03-01,
2016,4.0,69.93531704565092,2016-04-01,
2016,5.0,70.14177980564028,2016-05-01,
2016,6.0,71.52735440303272,2016-06-01,
2016,7.0,73.38868389576736,2016-07-01,
2016,8.0,73.78178032910668,2016-08-01,
2016,9.0,73.30151751796589,2016-09-01,
2016,10.0,72.22486041839579,2016-10-01,
2016,11.0,70.00976719307312,2016-11-01,
2016,12.0,67.86363680874925,2016-12-01,
2017,1.0,66.84365934740185,2017-01-01,
2017,2.0,66.96801481188461,2017-02-01,
2017,3.0,69.51215950402164,2017-03-01,
2017,4.0,69.06367602477609,2017-04-01,
2017,5.0,69.96320617256376,2017-05-01,
2017,6.0,71.59708373260136,2017-06-01,
2017,7.0,73.06639804057778,2017-07-01,
2017,8.0,73.45065833548128,2017-08-01,
2017,9.0,72.7910683185371,2017-09-01,
2017,10.0,72.51396020401262,2017-10-01,
2017,11.0,69.65999985496106,2017-11-01,
2017,12.0,66.87365694578386,2017-12-01,
2018,1.0,67.56869651126297,2018-01-01,
2018,2.0,67.46449798626355,2018-02-01,
2018,3.0,67.29664806284131,2018-03-01,
2018,4.0,70.24033300187736,2018-04-01,
2018,5.0,71.33430296561735,2018-05-01,
2018,6.0,71.88241478223392,2018-06-01,
2018,7.0,73.986131373701,2018-07-01,
2018,8.0,74.72131581559965,2018-08-01,
2018,9.0,74.33645459151452,2018-09-01,
2018,10.0,73.2972568659847,2018-10-01,
2018,11.0,71.35644723778691,2018-11-01,
2018,12.0,69.55041118725543,2018-12-01,
2019,1.0,66.4911105685764,2019-01-01,
2019,2.0,65.31770290798612,2019-02-01,
2019,3.0,66.19608832465278,2019-03-01,
2019,4.0,69.04194335937501,2019-04-01,
2019,5.0,70.55651584201388,2019-05-01,
2019,6.0,72.1657253689236,2019-06-01,
2019,7.0,73.37540418836807,2019-07-01,
2019,8.0,74.28102213541666,2019-08-01,
2019,9.0,74.27940266927084,2019-09-01,
2019,10.0,72.5957492404514,2019-10-01,
2019,11.0,71.50163031684028,2019-11-01,
2019,12.0,69.76057400173612,2019-12-01,
2020,1.0,67.99496799045139,2020-01-01,
2020,2.0,66.49051649305557,2020-02-01,
2020,3.0,67.47810872395833,2020-03-01,
2020,4.0,68.87671983506945,2020-04-01,
2020,5.0,70.05129937065972,2020-05-01,
2020,6.0,71.4645236545139,2020-06-01,
2020,7.0,72.32811143663196,2020-07-01,
2020,8.0,72.99881456163195,2020-08-01,
2020,9.0,72.38994683159723,2020-09-01,
2020,10.0,72.13181966145834,2020-10-01,
2020,11.0,71.19624837239584,2020-11-01,
2020,12.0,69.16885036892361,2020-12-01,
2021,1.0,67.5688232421875,2021-01-01,
2021,2.0,66.49242350260417,2021-02-01,
2021,3.0,66.89478352864583,2021-03-01,
2021,4.0,67.13355848524306,2021-04-01,
2021,5.0,69.55619574652778,2021-05-01,
2021,6.0,70.61771918402778,2021-06-01,
2021,7.0,72.22042643229167,2021-07-01,
2021,8.0,71.82559950086807,2021-08-01,
2021,9.0,71.48097873263889,2021-09-01,
2021,10.0,70.72050238715278,2021-10-01,
2021,11.0,69.84364420572916,2021-11-01,
2021,12.0,67.75552300347222,2021-12-01,
2022,1.0,67.37358940972223,2022-01-01,
2022,2.0,67.43502875434028,2022-02-01,
2022,3.0,68.2663330078125,2022-03-01,
2022,4.0,69.16659342447917,2022-04-01,
2022,5.0,69.86520182291667,2022-05-01,
2022,6.0,70.24678005642362,2022-06-01,
2022,7.0,72.11227484809028,2022-07-01,
2022,8.0,72.11399197048611,2022-08-01,
2022,9.0,72.5422119140625,2022-09-01,
2022,10.0,72.35400661892362,2022-10-01,
2022,11.0,70.21225857204861,2022-11-01,
2022,12.0,68.59201388888889,2022-12-01,
2023,1.0,67.56164822048612,2023-01-01,
2023,2.0,66.6824191623264,2023-02-01,
2023,3.0,68.30258246527778,2023-03-01,
2023,4.0,68.2682373046875,2023-04-01,
2023,5.0,75.82617458767362,2023-05-01,
2023,6.0,77.10576985677083,2023-06-01,
2023,7.0,71.79541286892362,2023-07-01,
2023,8.0,72.38804796006946,2023-08-01,
2023,9.0,72.00490180121528,2023-09-01,
2023,10.0,71.78836263020834,2023-10-01,
2023,11.0,69.87032335069443,2023-11-01,
2023,12.0,67.4930881076389,2023-12-01,
