Year,Month,tmean_f,datetime,Temp
2011.0,2.0,72.47571072048612,2011-02-01,
2011.0,3.0,73.10186631944444,2011-03-01,
2011.0,4.0,74.45141059027779,2011-04-01,
2011.0,5.0,74.51727430555556,2011-05-01,
2011.0,6.0,75.74659288194445,2011-06-01,
2011.0,7.0,76.92896050347223,2011-07-01,
2011.0,8.0,77.28193901909722,2011-08-01,
2011.0,9.0,77.4758544921875,2011-09-01,
2011.0,10.0,77.08502061631944,2011-10-01,
2011.0,11.0,74.886962890625,2011-11-01,
2011.0,12.0,73.42387695312499,2011-12-01,
2012.0,1.0,73.03498806423612,2012-01-01,
2012.0,2.0,71.69685872395833,2012-02-01,
2012.0,3.0,71.32989366319444,2012-03-01,
2012.0,4.0,73.36421983506945,2012-04-01,
2012.0,5.0,74.512548828125,2012-05-01,
2012.0,6.0,76.11541069878473,2012-06-01,
2012.0,7.0,76.271826171875,2012-07-01,
2012.0,8.0,77.01669921875,2012-08-01,
2012.0,9.0,77.0540011935764,2012-09-01,
2012.0,10.0,76.98129340277778,2012-10-01,
2012.0,11.0,74.85125325520833,2012-11-01,
2012.0,12.0,73.47562934027778,2012-12-01,
2013.0,1.0,71.24996202256945,2013-01-01,
2013.0,2.0,71.89729817708334,2013-02-01,
2013.0,3.0,70.97038845486111,2013-03-01,
2013.0,4.0,73.40147840711806,2013-04-01,
2013.0,5.0,74.97017686631943,2013-05-01,
2013.0,6.0,76.87540690104166,2013-06-01,
2013.0,7.0,77.46393771701389,2013-07-01,
2013.0,8.0,78.2135470920139,2013-08-01,
2013.0,9.0,78.62874348958334,2013-09-01,
2013.0,10.0,76.770751953125,2013-10-01,
2013.0,11.0,74.88347981770833,2013-11-01,
2013.0,12.0,73.80559353298611,2013-12-01,
2014.0,1.0,71.06680772569445,2014-01-01,
2014.0,2.0,71.90730251736112,2014-02-01,
2014.0,3.0,71.55183105468751,2014-03-01,
2014.0,4.0,73.93525933159722,2014-04-01,
2014.0,5.0,75.51720377604167,2014-05-01,
2014.0,6.0,76.52252061631944,2014-06-01,
2014.0,7.0,78.06623806423612,2014-07-01,
2014.0,8.0,78.30064561631944,2014-08-01,
2014.0,9.0,79.52555338541666,2014-09-01,
2014.0,10.0,78.62738715277777,2014-10-01,
2014.0,11.0,75.16236979166666,2014-11-01,
2014.0,12.0,72.02458767361111,2014-12-01,
2015.0,1.0,70.67935655381945,2015-01-01,
2015.0,2.0,72.55666775173611,2015-02-01,
2015.0,3.0,71.73612738715278,2015-03-01,
