SoilSymbol,Pasture Group,Organic Matter,pH,Unimproved,Poor,Favorable,Improved,Good,Favorable,Temp Regime,Moisture Regime,% nonproductive,Map Unit Name
300,5,4.74,6.9,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Kamaoa medial loam, 2 to 10 percent slopes"
301,0,4.74,6.9,0,0,0,0,0,0,isothermic,ustic,,"Kamaoa cobbly medial loam, 50 to 70 percent slopes"
305,5,10.73,6,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Kiolakaa medial loam, 2 to 10 percent slopes"
310,1,4.55,7.3,800,1400,2000,2000,3500,4500,isohyperthermic ,Haplocambids,,"Auwaiakeakua extremely cobbly silt loam, 2 to 10 percent slopes"
311,1,4.55,7.3,800,1400,2000,2000,3500,4500,isohyperthermic ,Haplocambids,,"Auwaiakeakua extremely cobbly silt loam, 10 to 20 percent slopes"
312,2,0,7,2000,3000,4000,5000,6500,8000,,,60%,"Lava flows-Auwaiakeakua complex, 2 to 20 percent slopes"
316,1,,,800,1400,2000,2000,3500,4500,,,70%,"Lava flows-Kiholo complex, 2 to 20 percent slopes"
317,2,8,6.5,2000,3000,4000,5000,6500,8000,isohyperthermic ,aridic,40%,"Kiholo-Lava flows complex, 2 to 10 percent slopes"
330,2,17.47,6.9,2000,3000,4000,5000,6500,8000,isothermic,ustic,40%,"Kahaumanu-Lava flows complex, 2 to 10 percent slopes"
331,2,17.47,6.9,2000,3000,4000,5000,6500,8000,isothermic,ustic,40%,"Kahaumanu-Lava flows complex, 10 to 20 percent slopes"
332,2,,,2000,3000,4000,5000,6500,8000,,,70%,"Lava flows-Kahaumanu complex, 2 to 20 percent slopes"
333,2,2.72,6.8,2000,3000,4000,5000,6500,8000,isothermic,ustic,,"Puu Pa very cobbly medial very fine sandy loam, 6 to 12 percent slopes"
334,2,2.72,6.8,2000,3000,4000,5000,6500,8000,isothermic,ustic,,"Puu Pa very cobbly medial very fine sandy loam, 12 to 20 percent slopes"
335,2,2.39,7.7,2000,3000,4000,5000,6500,8000,isothermic,aridic,,"Waikaloa-Puu Pa complex, 10 to 20 percent slopes"
336,1,4.63,6.7,800,1400,2000,2000,3500,4500,isohyperthermic ,aridic,,"Puako fine sandy loam, 0 to 6 percent slopes"
337,2,2.39,7.7,2000,3000,4000,5000,6500,8000,isothermic,aridic,,"Waikaloa-Puu Pa complex, 2 to 10 percent slopes"
340,4,7.29,7.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Waawaa medial silt loam, 2 to 10 percent slopes"
341,4,7.29,7.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Waawaa medial silt loam, 10 to 20 percent slopes"
342,4,7.29,7.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Waawaa medial silt loam, 40 to 70 percent slopes"
345,2,2.39,7.7,2000,3000,4000,5000,6500,8000,isothermic,aridic,,"Waikaloa medial very fine sandy loam, 2 to 10 percent slopes"
346,4,3.31,7.7,2000,2500,3000,4000,5000,6000,isothermic,aridic,,"Waikaloa medial very fine sandy loam, 10 to 20 percent slopes"
347,2,2.39,7.7,2000,3000,4000,5000,6500,8000,isothermic,aridic,,"Waikaloa medial very fine sandy loam, 20 to 50 percent slopes"
350,2,2.63,7.5,2000,3000,4000,5000,6500,8000,isohyperthermic ,aridic,,"Nanuku extremely cobbly silt loam, 2 to 10 percent slopes"
351,2,2.63,7.5,2000,3000,4000,5000,6500,8000,isohyperthermic ,aridic,,"Nanuku extremely cobbly silt loam, 10 to 20 percent slopes"
352,0,0,7,0,0,0,0,0,0,,,,"Lava flows-Nanuku complex, 2 to 20 percent slopes"
356,4,15.3,7.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Akahipuu very cobbly medial silt loam, 2 to 10 percent slopes"
357,4,15.3,7.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Akahipuu very cobbly medial silt loam, 10 to 20 percent slopes"
370,1,3.88,8.3,800,1400,2000,2000,3500,4500,isohyperthermic ,aridic,,"Waikui-Hapuna complex, 2 to 10 percent slopes"
371,1,3.88,8.3,800,1400,2000,2000,3500,4500,isohyperthermic ,aridic,,"Waikui-Hapuna complex, 10 to 20 percent slopes"
373,1,3.38,8.3,800,1400,2000,2000,3500,4500,isohyperthermic ,aridic,,"Hapuna-Waikui-Lalamilo complex, 0 to 20 percent slopes"
374,1,,,800,1400,2000,2000,3500,4500,isohyperthermic,,40%,"Rock outcrop-Waikui-Hapuna complex, 2 to 70 percent slopes"
375,1,1.25,7.3,800,1400,2000,2000,3500,4500,isohyperthermic ,Sodic Haplocambids,,"Kawaihae very cobbly very fine sandy loam, 6 to 12 percent slopes"
376,1,1.25,7.3,800,1400,2000,2000,3500,4500,isohyperthermic ,Sodic Haplocambids,,"Kawaihae very cobbly very fine sandy loam, 12 to 20 percent slopes"
377,1,1.25,7.3,800,1400,2000,2000,3500,4500,isohyperthermic ,Sodic Haplocambids,,"Kawaihae very cobbly silt loam, 6 to 20 percent slopes"
379,4,,,2000,2500,3000,4000,5000,6000,,,70%,"Rock outcrop-Kamakoa complex, 6 to 20 percent slopes"
380,4,7.37,8.1,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Kamakoa very fine sandy loam, 2 to 10 percent slopes"
381,13,5.29,7.5,4000,6000,8000,9000,12000,15000,isothermic,ustic,,"Waimea medial very fine sandy loam, 6 to 12 percent slopes"
382,13,5.29,7.5,4000,6000,8000,9000,12000,15000,isothermic,ustic,,"Waimea medial very fine sandy loam, 12 to 20 percent slopes"
383,4,5.29,7.5,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Waimea medial very fine sandy loam, 0 to 6 percent slopes"
384,4,5.29,7.5,2000,2500,3000,4000,5000,6000,isothermic,ustic,,"Waimea medial very fine sandy loam, 20 to 50 percent slopes"
385,14,29.6,5.1,1000,1500,2000,2500,3250,4000,isothermic,aquic,,"Hua hydrous silt loam, 2 to 10 percent slopes"
386,14,29.6,5.1,1000,1500,2000,2500,3250,4000,isothermic,aquic,,"Hua hydrous silt loam, 10 to 20 percent slopes"
387,14,29.6,5.1,1000,1500,2000,2500,3250,4000,isothermic,aquic,,"Hua-Honaunau complex, 2 to 10 percent slopes"
388,14,29.6,5.1,1000,1500,2000,2500,3250,4000,isothermic,aquic,,"Hua-Honaunau complex, 10 to 20 percent slopes"
389,14,29.6,5.1,1000,1500,2000,2500,3250,4000,isothermic,aquic,,"Hua-Honaunau complex, 20 to 40 percent slopes"
390,13,14.18,6.4,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Manahaa hydrous silt loam, 2 to 10 percent slopes"
391,13,14.18,6.4,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Manahaa hydrous silt loam, 10 to 20 percent slopes"
394,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,35%,"Hokukano-Lava flows complex, 2 to 10 percent slopes"
395,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,35%,"Hokukano-Lava flows complex, 10 to 20 percent slopes"
396,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Hokukano medial silt loam, 2 to 10 percent slopes"
397,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Hokukano medial silt loam, 10 to 20 percent slopes"
398,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Hokukano-Manahaa complex, 2 to 10 percent slopes"
399,13,20.1,5.7,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Hokukano-Manahaa complex, 10 to 20 percent slopes"
400,13,14.18,6.4,4000,6000,8000,9000,12000,15000,isomesic ,udic,,"Manahaa hydrous silt loam, 20 to 50 percent slopes"
401,14,15.27,6,1000,1500,2000,2500,3250,4000,isomesic ,ustic,40%,"Ihuanu-Lava flows, `a`a complex, 10 to 20 percent slopes, MLRA 160"
402,16,15.27,6,500,750,1000,7000,1500,2000,isomesic ,ustic,,"Ihuanu very cobbly medial silt loam, 10 to 20 percent slopes, MLRA 160"
